scenario,cold_precip_mm_day,cold_snow_mm_day,cold_snow_fraction,spring_precip_mm_day,spring_snow_mm_day,spring_snow_fraction,model_count,delta_cold_fraction_vs_hist,delta_spring_fraction_vs_hist
historical,20.446359664799083,5.059773758061507,0.24746575141063024,7.0729389031905265,1.863679262704681,0.2634943250908042,2,0.0,0.0
ssp245,21.3750183983281,3.363510429149758,0.1573570776160288,7.560777707615439,1.4536421796277708,0.19226093344387302,2,-0.09010867379460144,-0.07123339164693121
ssp585,22.40405107850376,2.5777650896617654,0.11505799021030977,6.217509273176832,0.8354239365437656,0.13436633543079643,2,-0.13240776120032047,-0.1291279896600078
