scenario,month,mean,median,model_count,melt_index,self_index,cumfrac
historical,1,9.71790406905054e-06,9.71790406905054e-06,2,70.52401523907703,70.52401523907703,0.1637656723904751
historical,2,1.3631530952723494e-05,1.3631530952723494e-05,2,98.92568292616907,98.92568292616907,0.3934836050148547
historical,3,1.3779567195808067e-05,1.3779567195808067e-05,2,100.0,100.0,0.6256962375986747
historical,4,7.455374112494346e-06,7.455374112494346e-06,2,54.10455935627915,54.10455935627915,0.751333859227766
historical,5,2.0902225885881023e-06,2.0902225885881023e-06,2,15.169000295045382,15.169000295045382,0.7865581941495382
historical,6,1.8996912896152357e-07,1.8996912896152357e-07,2,1.3786291416998553,1.3786291416998553,0.7897595451730471
historical,7,3.930969013161337e-09,3.930969013161337e-09,2,0.028527521636217947,0.028527521636217947,0.7898257896820495
historical,8,4.306946278820114e-10,4.306946278820114e-10,2,0.0031256034515585846,0.0031256034515585846,0.7898330477281086
historical,9,9.544255554993883e-08,9.544255554993883e-08,2,0.6926382679056405,0.6926382679056405,0.7914414412842953
historical,10,8.060662482715983e-07,8.060662482715983e-07,2,5.849721089330111,5.849721089330111,0.8050252326246395
historical,11,4.861387629035835e-06,4.861387629035835e-06,2,35.27968302600053,35.27968302600053,0.8869491133465425
historical,12,6.708473487654459e-06,6.708473487654459e-06,2,48.684210413337716,48.684210413337716,1.0000000000000002
ssp126,1,6.691017585886156e-06,6.691017585886156e-06,1,48.55753080489825,64.26977040034035,0.1591034063630619
ssp126,2,9.019248628062457e-06,9.019248628062457e-06,1,65.45378748039514,86.63331564572299,0.37356901807913984
ssp126,3,1.041083163080776e-05,1.041083163080776e-05,1,75.55267507948201,100.0,0.6211246034997769
ssp126,4,5.716127442423868e-06,5.716127442423868e-06,1,41.48263411468244,54.905579545717444,0.7570464323727714
ssp126,5,1.9974355416147187e-06,1.9974355416147187e-06,1,14.495633376804214,19.186128567326957,0.8045427652671736
ssp126,6,1.3700144127396122e-07,1.3700144127396122e-07,1,0.9942361710434486,1.3159509838632506,0.8078004754291249
ssp126,7,1.0331184702659324e-10,1.0331184702659324e-10,1,0.0007497466760641228,0.0009923496094286315,0.80780293204601
ssp126,8,7.744394098694179e-11,7.744394098694179e-11,1,0.0005620201265138523,0.0007438785270311113,0.8078047735588525
ssp126,9,9.33312944881125e-09,9.33312944881125e-09,1,0.06773165888439889,0.08964826038673633,0.8080267028346723
ssp126,10,3.219309277648721e-07,3.219309277648721e-07,1,2.336292012588087,3.0922690826370993,0.8156817876649759
ssp126,11,2.552906816845693e-06,2.552906816845693e-06,1,18.526756178686963,24.521641568874518,0.8763864810055535
ssp126,12,5.198507362926813e-06,5.198507362926813e-06,1,37.726202057407654,49.933641684717834,1.0
ssp245,1,6.958293997189594e-06,6.958293997189594e-06,2,50.4971883246551,80.20133296537206,0.2050405908773858
ssp245,2,8.676032853710705e-06,8.676032853710705e-06,2,62.96302873975659,100.0,0.46069792635573087
ssp245,3,7.336053886508264e-06,7.336053886508264e-06,2,53.238637921370945,84.55539542327418,0.6768699972980521
ssp245,4,4.246403309418182e-06,4.246403309418182e-06,2,30.81666680147977,48.94406672978436,0.8019990941741619
ssp245,5,8.161802773303834e-07,8.161802773303834e-07,2,5.923119831939835,9.40729814066237,0.8260495419410833
ssp245,6,6.442507511787407e-08,6.442507511787407e-08,2,0.46754062883392355,0.7425637523988827,0.8279479606446942
ssp245,7,5.5066124316755925e-11,5.5066124316755925e-11,2,0.00039962158124609164,0.0006346924365691442,0.827949583282466
ssp245,8,1.763473807332155e-11,1.763473807332155e-11,2,0.00012797744531980857,0.0002032580831661932,0.8279501029266656
ssp245,9,1.7987628640843663e-08,1.7987628640843663e-08,2,0.13053841521463566,0.20732550169113786,0.8284801457800562
ssp245,10,1.6242968646206106e-07,1.6242968646206106e-07,2,1.1787720481632717,1.8721654147792965,0.8332664739952281
ssp245,11,1.76415068057675e-06,1.76415068057675e-06,2,12.802656683683278,20.333609961172865,0.885250839428522
ssp245,12,3.8941479429531045e-06,3.8941479429531045e-06,2,28.260306638206735,44.88396953554173,1.0
ssp585,1,6.437511926356031e-06,6.437511926356031e-06,2,46.717809310545036,91.09660648281039,0.2539934361576889
ssp585,2,7.066686866728418e-06,7.066686866728418e-06,2,51.28380860088407,100.0,0.5328111067210995
ssp585,3,4.545920562256792e-06,4.545920562256792e-06,2,32.990300041061694,64.32888067617696,0.7121713933219322
ssp585,4,1.8942077510679742e-06,1.8942077510679742e-06,2,13.746496708867737,26.804750044696878,0.7869077729969008
ssp585,5,3.8136093884329005e-07,3.8136093884329005e-07,2,2.7675828523794657,5.396601632921147,0.8019544519593985
ssp585,6,7.547907768786503e-09,7.547907768786503e-09,2,0.05477608738743754,0.10680971028055287,0.8022522563055383
ssp585,7,1.0417691001172982e-10,1.0417691001172982e-10,2,0.0007560245436694257,0.0014741973427776828,0.802256366628229
ssp585,8,2.748340571135062e-12,2.748340571135062e-12,2,1.9945042772977258e-05,3.8891500684357185e-05,0.8022564750646052
ssp585,9,1.7315143005126269e-09,1.7315143005126269e-09,2,0.012565810492504999,0.024502490815957803,0.8023247923387281
ssp585,10,7.013069829065029e-08,7.013069829065029e-08,2,0.5089470321824404,0.9924127050377978,0.8050918143252899
ssp585,11,6.893780684298144e-07,6.893780684298144e-07,2,5.0029007343534895,9.755322139368653,0.8322913762702342
ssp585,12,4.2506069516806265e-06,4.2506069516806265e-06,2,30.847173146147284,60.14992643431618,0.9999999999999998
