source_id,scenario,month,mrro
CNRM-CM6-1,ssp245,4,2.175582160626505e-05
CNRM-CM6-1,ssp245,5,9.48311533973328e-06
CNRM-CM6-1,ssp245,6,4.610712579151543e-06
CNRM-CM6-1,ssp245,7,1.2893852359924488e-06
CNRM-CM6-1,ssp245,8,3.252848675574003e-07
CNRM-CM6-1,ssp245,9,6.880098543034901e-07
CNRM-CM6-1,ssp245,10,1.049741802573867e-06
CNRM-CM6-1,ssp245,11,1.5567543317568644e-05
CNRM-CM6-1,ssp245,12,4.467445000053978e-05
CanESM5,ssp245,1,8.665061989630398e-06
CanESM5,ssp245,2,1.7136643829773444e-05
CanESM5,ssp245,3,8.839805614519074e-06
CanESM5,ssp245,4,3.2731809807854307e-06
CanESM5,ssp245,5,6.349418500008723e-07
CanESM5,ssp245,6,5.5709734362439775e-08
CanESM5,ssp245,7,2.4813538810480873e-13
CanESM5,ssp245,8,4.126262549457198e-13
CanESM5,ssp245,9,2.221359489580632e-12
CanESM5,ssp245,10,6.358831104898155e-12
CanESM5,ssp245,11,5.21713942587421e-10
CanESM5,ssp245,12,3.2177313777167063e-06
GFDL-ESM4,ssp585,1,1.0494088007312234e-05
GFDL-ESM4,ssp585,2,1.756078071261983e-05
GFDL-ESM4,ssp585,3,6.537452887522532e-06
GFDL-ESM4,ssp585,4,1.977188396918461e-06
GFDL-ESM4,ssp585,5,1.0582320392427312e-06
GFDL-ESM4,ssp585,6,7.614889922013444e-07
GFDL-ESM4,ssp585,7,7.66941472663825e-07
GFDL-ESM4,ssp585,8,7.529272497748741e-07
GFDL-ESM4,ssp585,9,7.052374749578923e-07
GFDL-ESM4,ssp585,10,6.852625111109787e-07
GFDL-ESM4,ssp585,11,1.1126384467241897e-06
GFDL-ESM4,ssp585,12,2.7268890325831243e-06
GFDL-CM4,ssp585,1,3.3556135716881117e-06
GFDL-CM4,ssp585,2,7.116446364024922e-06
GFDL-CM4,ssp585,3,4.045178780872713e-06
GFDL-CM4,ssp585,4,1.6030343631216047e-06
GFDL-CM4,ssp585,5,6.78106978674023e-07
GFDL-CM4,ssp585,6,6.43650582593434e-07
GFDL-CM4,ssp585,7,6.633151696525748e-07
GFDL-CM4,ssp585,8,6.447771118431477e-07
GFDL-CM4,ssp585,9,6.129795692541516e-07
GFDL-CM4,ssp585,10,6.053610562142467e-07
GFDL-CM4,ssp585,11,6.068234426538468e-07
GFDL-CM4,ssp585,12,1.0147152532624586e-06
CNRM-CM6-1,ssp585,1,7.239078745825622e-05
CNRM-CM6-1,ssp585,2,5.216551265766999e-05
CNRM-CM6-1,ssp585,3,4.260452248131878e-05
CNRM-CM6-1,ssp585,4,2.350446250550192e-05
CNRM-CM6-1,ssp585,5,8.818235909447602e-06
CNRM-CM6-1,ssp585,6,3.170344841191114e-06
CNRM-CM6-1,ssp585,7,1.0965291182923475e-06
CNRM-CM6-1,ssp585,8,2.3349943268393987e-07
CNRM-CM6-1,ssp585,9,3.6422945674007514e-07
CNRM-CM6-1,ssp585,10,3.455920853209677e-07
CNRM-CM6-1,ssp585,11,7.453590757285011e-06
CNRM-CM6-1,ssp585,12,4.83346338914646e-05
CanESM5,ssp585,1,5.333787777632034e-06
CanESM5,ssp585,2,2.2146408501681908e-05
CanESM5,ssp585,3,1.3892630390046245e-05
CanESM5,ssp585,4,1.8028927407579378e-06
CanESM5,ssp585,5,3.319152026287e-07
CanESM5,ssp585,6,1.8865499231912075e-12
CanESM5,ssp585,7,4.0264108653779675e-13
CanESM5,ssp585,8,1.7542398239829666e-12
CanESM5,ssp585,9,4.697124010273959e-12
CanESM5,ssp585,10,7.40508399228474e-12
CanESM5,ssp585,11,1.6882639008407735e-10
CanESM5,ssp585,12,1.5922624581868595e-07
BCC-CSM2-MR,ssp585,1,4.5323279486718924e-05
BCC-CSM2-MR,ssp585,2,4.8523192856303155e-05
BCC-CSM2-MR,ssp585,3,3.1460918603768444e-05
BCC-CSM2-MR,ssp585,4,1.2738394884771177e-05
BCC-CSM2-MR,ssp585,5,5.4671329233616156e-08
BCC-CSM2-MR,ssp585,6,-2.196544365576651e-06
BCC-CSM2-MR,ssp585,7,-4.651865602021477e-06
BCC-CSM2-MR,ssp585,8,-2.5209266545503827e-06
BCC-CSM2-MR,ssp585,9,-1.375453982414936e-06
BCC-CSM2-MR,ssp585,10,1.2667734073856173e-06
BCC-CSM2-MR,ssp585,11,1.4324771839379564e-05
BCC-CSM2-MR,ssp585,12,2.6437764454613036e-05
