scenario,cold_season_mean_c,spring_mean_c,model_count,delta_cold_vs_hist_c,delta_spring_vs_hist_c
historical,2.975576917452048,5.902280308611523,2,0.0,0.0
ssp245,5.3703311792922594,7.6037742419489405,2,2.3947542618402116,1.7014939333374173
ssp585,6.726001387459786,9.062291669093952,2,3.7504244700077383,3.1600113604824287
