scenario,month,mean,median,model_count,snw_index
historical,1,21.321397035258883,21.321397035258883,2,59.028384369034136
historical,2,36.12058378891348,36.12058378891348,2,100.0
historical,3,30.972746049289167,30.972746049289167,2,85.74818787617619
historical,4,7.6878823613961265,7.6878823613961265,2,21.283937176441135
historical,5,0.32826710215461063,0.32826710215461063,2,0.9088089607659274
historical,6,0.0037704296757240688,0.0037704296757240688,2,0.010438451653379229
historical,7,7.452529630775309e-09,7.452529630775309e-09,2,2.063236207456514e-08
historical,8,0.0,0.0,2,0.0
historical,9,8.978754476492101e-05,8.978754476492101e-05,2,0.0002485772248024396
historical,10,0.01899338254547515,0.01899338254547515,2,0.05258326569822718
historical,11,0.8029889452686212,0.8029889452686212,2,2.2230785359429412
historical,12,10.713355797175858,10.713355797175858,2,29.65997410170352
ssp245,1,8.177812776892479,8.177812776892479,2,22.640311753218402
ssp245,2,10.038140613273471,10.038140613273471,2,27.790637803463426
ssp245,3,7.047343396017437,7.047343396017437,2,19.510602146415152
ssp245,4,1.014045911868527,1.014045911868527,2,2.8073907049635474
ssp245,5,0.0051637709074919,0.0051637709074919,2,0.014295923171310482
ssp245,6,3.5358448029004395e-05,3.5358448029004395e-05,2,9.789002369296423e-05
ssp245,7,0.0,0.0,2,0.0
ssp245,8,0.0,0.0,2,0.0
ssp245,9,1.1971079964827934e-05,1.1971079964827934e-05,2,3.3141989162706246e-05
ssp245,10,0.008992091649561192,0.008992091649561192,2,0.024894646504360046
ssp245,11,0.4426075452400876,0.4426075452400876,2,1.2253609958982377
ssp245,12,3.4186269496160904,3.4186269496160904,2,9.464484210981587
ssp585,1,7.404162835944406,7.404162835944406,1,20.498458383767794
ssp585,2,10.569996893058017,10.569996893058017,1,29.263084325625645
ssp585,3,4.726865094618696,4.726865094618696,1,13.086347447323144
ssp585,4,0.4576827362213559,0.4576827362213559,1,1.2670967304848293
ssp585,5,0.0023536559436902727,0.0023536559436902727,1,0.006516107152212425
ssp585,6,9.334225066589971e-05,9.334225066589971e-05,1,0.00025841844420728695
ssp585,7,0.0,0.0,1,0.0
ssp585,8,0.0,0.0,1,0.0
ssp585,9,5.767332717831243e-07,5.767332717831243e-07,1,1.5966886779945721e-06
ssp585,10,0.0017035691035357302,0.0017035691035357302,1,0.004716338787576872
ssp585,11,0.08279067256754785,0.08279067256754785,1,0.22920635239832104
ssp585,12,1.8579102375854577,1.8579102375854577,1,5.143632917017547
